Document 1,Document 2,Similarity
115.txt,53.txt,0.586
115.txt,54.txt,0.531
115.txt,80.txt,0.648
130.txt,159.txt,0.703
130.txt,181.txt,0.812
130.txt,185.txt,0.844
130.txt,194.txt,0.656
130.txt,197.txt,0.703
130.txt,206.txt,0.875
130.txt,208.txt,0.836
130.txt,263.txt,0.664
142.txt,340.txt,0.531
151.txt,310.txt,1.0
151.txt,496.txt,0.969
155.txt,239.txt,1.0
157.txt,241.txt,1.0
158.txt,243.txt,0.945
159.txt,181.txt,0.695
159.txt,185.txt,0.711
159.txt,194.txt,0.836
159.txt,197.txt,0.891
159.txt,206.txt,0.719
159.txt,208.txt,0.711
159.txt,263.txt,0.875
160.txt,246.txt,0.992
162.txt,250.txt,0.961
163.txt,252.txt,0.953
169.txt,184.txt,0.562
173.txt,258.txt,1.0
175.txt,184.txt,0.516
176.txt,195.txt,0.625
176.txt,215.txt,0.836
176.txt,223.txt,0.844
176.txt,231.txt,0.844
176.txt,233.txt,0.828
176.txt,240.txt,0.883
176.txt,244.txt,0.656
176.txt,245.txt,0.805
176.txt,249.txt,0.852
176.txt,264.txt,0.633
176.txt,268.txt,0.844
176.txt,274.txt,0.844
176.txt,287.txt,0.828
176.txt,290.txt,0.82
176.txt,293.txt,0.836
176.txt,305.txt,0.82
176.txt,311.txt,0.844
176.txt,315.txt,0.82
176.txt,332.txt,0.852
176.txt,336.txt,0.852
176.txt,351.txt,0.805
176.txt,352.txt,0.82
176.txt,354.txt,0.812
176.txt,361.txt,0.828
176.txt,375.txt,0.836
176.txt,385.txt,0.875
176.txt,413.txt,0.797
176.txt,416.txt,0.812
176.txt,419.txt,0.852
176.txt,475.txt,0.812
176.txt,477.txt,0.836
181.txt,185.txt,0.797
181.txt,194.txt,0.656
181.txt,197.txt,0.695
181.txt,206.txt,0.844
181.txt,208.txt,0.828
181.txt,263.txt,0.672
183.txt,277.txt,1.0
184.txt,279.txt,0.875
185.txt,194.txt,0.656
185.txt,197.txt,0.711
185.txt,206.txt,0.859
185.txt,208.txt,0.82
185.txt,263.txt,0.68
186.txt,254.txt,0.984
187.txt,255.txt,1.0
190.txt,260.txt,0.984
191.txt,261.txt,1.0
192.txt,265.txt,0.516
192.txt,267.txt,0.523
194.txt,197.txt,0.828
194.txt,206.txt,0.688
194.txt,208.txt,0.672
194.txt,263.txt,0.82
195.txt,215.txt,0.633
195.txt,223.txt,0.633
195.txt,231.txt,0.625
195.txt,233.txt,0.625
195.txt,240.txt,0.672
195.txt,244.txt,0.773
195.txt,245.txt,0.617
195.txt,249.txt,0.656
195.txt,264.txt,0.734
195.txt,268.txt,0.633
195.txt,274.txt,0.641
195.txt,287.txt,0.602
195.txt,290.txt,0.648
195.txt,293.txt,0.617
195.txt,305.txt,0.602
195.txt,311.txt,0.641
195.txt,315.txt,0.633
195.txt,332.txt,0.625
195.txt,336.txt,0.625
195.txt,351.txt,0.594
195.txt,352.txt,0.633
195.txt,354.txt,0.578
195.txt,361.txt,0.633
195.txt,375.txt,0.641
195.txt,385.txt,0.641
195.txt,413.txt,0.609
195.txt,416.txt,0.617
195.txt,419.txt,0.641
195.txt,475.txt,0.641
195.txt,477.txt,0.625
196.txt,269.txt,1.0
197.txt,206.txt,0.711
197.txt,208.txt,0.703
197.txt,263.txt,0.867
198.txt,209.txt,0.93
201.txt,205.txt,0.641
201.txt,207.txt,0.578
205.txt,207.txt,0.617
206.txt,208.txt,0.875
