document,total_words,unique_words,top_words
0.txt,1008,488,"núi, an_giang, châu_đốc, mùa, du_khách, sông, đồng, chợ, đi, đặc_sản"
1.txt,1496,666,"nà, du_khách, hills, đồng, treo, khu, du_lịch, cáp, đà_nẵng, đỉnh"
10.txt,1074,541,"bình_liêu, đi, núi, mốc, mùa, đường, du_khách, thác, quảng_ninh, cột"
100.txt,1588,708,"sa_pa, đường, đi, đồng, núi, đèo, xe, đẹp, giá, cát"
101.txt,1800,855,"trà_vinh, chùa, lễ, khmer, tp, du_khách, đồng, lễ_hội, món, bún"
102.txt,1456,767,"tiền_giang, tp, mỹ_tho, du_khách, hủ_tiếu, đồng, đi, kiến_trúc, chùa, đình"
103.txt,1489,744,"tây_ninh, núi, du_khách, chùa, tp, đồng, món, trảng_bàng, hai, đen"
104.txt,1683,817,"tuyên_quang, du_khách, thác, hang, lịch_sử, núi, thành, nằm, na, du_lịch"
105.txt,889,409,"rừng, tràm, trà_sư, du_khách, đẹp, chim, du_lịch, cầu, tham_quan, mùa"
106.txt,1063,513,"tà_xùa, mây, đẹp, đỉnh, đi, mỏm, đường, homestay, săn, ảnh"
107.txt,1104,547,"trạm_tấu, núi, đỉnh, nóng, đường, tà_xùa, đẹp, du_khách, chinh_phục, mây"
108.txt,1741,841,"thái_nguyên, chè, hồ, vị, núi, du_khách, lá, suối, màu, bánh"
109.txt,2294,1020,"tp, hcm, du_lịch, đồng, thành_phố, du_khách, phố, đường, món, trung_tâm"
11.txt,1743,784,"khu, đồng, du_lịch, du_khách, đi, núi, rừng, hà_nội, vườn, quốc_gia"
110.txt,1704,795,"thanh_hóa, du_lịch, biển, du_khách, cá, mùa, bãi, tp, núi, đồng"
111.txt,869,449,"tú_lệ, mùa, du_khách, đèo, đường, đi, tắm, đẹp, khau, ruộng"
112.txt,1417,645,"mặc_định, tam_cốc, đồng, lúa, sông, du_lịch, chín, khu, sống, mùa"
113.txt,1011,522,"tam_đảo, du_lịch, thị_trấn, ảnh, du_khách, đi, đồng, chụp, vĩnh_phúc, mùa"
114.txt,2640,1163,"huế, du_khách, vua, ảnh, đi, nằm, đồng, hương, du_lịch, mùa"
115.txt,804,382,"mặc_định, thái_bình, sống, biển, kinh_doanh, giáo_dục, bãi, doanh_nghiệp, tri_thức, awards"
116.txt,1077,539,"pù_mát, nghệ_an, vườn, vqg, du_khách, rừng, sông, quốc_gia, thác, du_lịch"
117.txt,1153,503,"bạch_mã, du_khách, thác, vườn, đồng, đỉnh, đỗ_quyên, loài, đường, quốc_gia"
118.txt,1561,638,"vườn, cúc_phương, du_khách, rừng, quốc_gia, đi, đồng, tour, cúc, tham_quan"
119.txt,1037,474,"vườn, cát_tiên, đồng, du_khách, quốc_gia, rừng, tham_quan, đi, tour, dịch_vụ"
12.txt,1309,686,"bắc_ninh, làng, chùa, đình, bánh, ảnh, du_lịch, vị, du_khách, tỉnh"
120.txt,1644,815,"vĩnh_long, khu, miền, du_lịch, sông, tỉnh, du_khách, đồng, cá, tây"
121.txt,1165,489,"vịnh, lan_hạ, du_khách, cát_bà, đảo, hang, làng, đồng, hạ_long, du_lịch"
122.txt,1305,557,"vịnh, hạ_long, tàu, hang, tham_quan, hòn, đêm, du_lịch, đảo, du_khách"
123.txt,1992,928,"vũng_tàu, biển, bãi, du_khách, đi, ảnh, đường, đồng, núi, du_lịch"
124.txt,929,520,"vĩnh_phúc, tam_đảo, du_lịch, hồ, đẹp, thiền, viện, đại_lải, du_khách, núi"
125.txt,1367,596,"mặc_định, y_tý, du_khách, lào_cai, mây, ảnh, sống, đi, yến, cung"
126.txt,1675,770,"yên_bái, mù_cang_chải, du_khách, du_lịch, mùa, homestay, món, đường, tú_lệ, trạm_tấu"
127.txt,1419,600,"mặc_định, du_khách, việt_nam, du_lịch, đi, tàu, thuê, chuyến, xe, sống"
128.txt,3464,1249,"huế, vua, di_tích, điện, xây_dựng, chùa, thành, đình, kdt, kinh_thành"
129.txt,7995,2223,"hội_an, tr, cổ, hội, việt_nam, chùa, hai, đường, văn_hóa, phố"
13.txt,1199,555,"đảo, biển, bãi, bình_ba, đi, bình, du_khách, du_lịch, giá, đồng"
130.txt,13,13,"vinpearl, com, verifying, you, are, human, this, may, take, a"
131.txt,1058,534,"khách_sạn, hội_an, cổ, phố, hội, du_lịch, du_khách, kiến_trúc, đẹp, an"
132.txt,9139,2381,"vịnh, hạ_long, đảo, việt_nam, biển, hang, thế_giới, di_sản, truy_cập, văn_hóa"
133.txt,1634,615,"hạ_long, vnđ, du_lịch, vnd, vịnh, đi, thành_phố, hà_nội, bãi, đảo"
134.txt,4381,1313,"tràng_an, du_lịch, hoa_lư, khu, di_sản, thế_giới, động, quần_thể, núi, chùa"
135.txt,1338,615,"tràng_an, quần_thể, danh_thắng, động, chùa, khu, du_lịch, núi, ninh_bình, sở_hữu"
136.txt,2410,998,"mỹ_sơn, đền, tháp, kdt, di_tích, chùa, thế_kỷ, đình, thánh_địa, việt_nam"
137.txt,1254,528,"mỹ_sơn, vnd, thánh_địa, vé, hội_an, kiến_trúc, tiết_kiệm, shutterstock, quảng_nam, traveloka"
138.txt,1032,557,"đỉnh, fansipan, núi, chinh_phục, cực, việt_nam, biển, đông_dương, độ, bia"
139.txt,2461,964,"chim, tràm, ha, loài, quốc_gia, vườn, đất, ống, cỏ, trầm_tích"
14.txt,1431,735,"bạc_liêu, du_khách, đồng, cánh, đi, lễ_hội, thành_phố, giá, biển, km"
140.txt,7372,2137,"phong_nha, động, kẻ_bàng, quốc_gia, vườn, khu_vực, hang, m, việt_nam, thế_giới"
141.txt,2073,749,"né, mũi, tỉnh, phường, lâm_đồng, du_lịch, xã, thành_phố, phan_thiết, bình_thuận"
142.txt,3448,683,"vinwonders, vé, phú_quốc, vinpearl, né, cửa, grand, mũi, combo, safari"
