term,document_frequency,percentage,idf
du_lịch,424,96.4,0.037
việt_nam,393,89.3,0.113
đi,388,88.2,0.126
nằm,384,87.3,0.136
đẹp,374,85.0,0.163
đường,368,83.6,0.179
khu,360,81.8,0.201
trải,356,80.9,0.212
du_khách,354,80.5,0.217
thành_phố,351,79.8,0.226
tham_quan,349,79.3,0.232
trung_tâm,336,76.4,0.27
tỉnh,331,75.2,0.285
khám_phá,330,75.0,0.288
núi,328,74.5,0.294
nghiệm,322,73.2,0.312
hai,320,72.7,0.318
nổi_tiếng,320,72.7,0.318
hàng,318,72.3,0.325
hoạt_động,316,71.8,0.331
khu_vực,313,71.1,0.341
giá,313,71.1,0.341
văn_hóa,313,71.1,0.341
điều_khoản,313,71.1,0.341
nam,312,70.9,0.344
mùa,308,70.0,0.357
biển,308,70.0,0.357
ảnh,306,69.5,0.363
xanh,306,69.5,0.363
hà_nội,306,69.5,0.363
tp,306,69.5,0.363
miền,305,69.3,0.366
địa_điểm,304,69.1,0.37
dân,300,68.2,0.383
lịch_sử,299,68.0,0.386
thành,298,67.7,0.39
xe,296,67.3,0.396
thông_tin,296,67.3,0.396
vé,292,66.4,0.41
bắc,291,66.1,0.413
chân,288,65.5,0.424
thế_giới,287,65.2,0.427
di_chuyển,286,65.0,0.431
đồng,284,64.5,0.438
đầu,283,64.3,0.441
gọi,283,64.3,0.441
ngắm,282,64.1,0.445
thiên_nhiên,281,63.9,0.448
đá,279,63.4,0.456
quốc_gia,278,63.2,0.459
