doc_id,image_url
0,https://i1-dulich.vnecdn.net/2022/03/30/dulichangiang1-1648633832-1648-2250-9546-1648633991.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=zjCtXqDiG4idCQlqeYBSBg
1,https://i1-dulich.vnecdn.net/2025/04/10/bntop-1744279043-1744279058-4499-1744280762.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=EVkriD9nnG4tQ4NVdCMziA
2,https://i1-dulich.vnecdn.net/2025/02/20/z633584042164652e11b297904a303-3690-3624-1740042356.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=03CA4dIfmlUKRu5PgJudBA
3,https://i1-dulich.vnecdn.net/2024/05/24/langchaimuine-1716543842-17165-3593-5401-1716545117.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Pt0jM4N5mpvnOvIu8BlbzA
4,https://i1-dulich.vnecdn.net/2024/04/08/culaoxanh-1712564783-171256480-6254-7288-1712565796.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=ptUdm7sodsbkYzVz2QLqxA
5,https://i1-dulich.vnecdn.net/2023/11/29/hodautieng1-1701232459-1701232-5745-5650-1701232923.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=mbX-YE-W97yCGXyRONhEDw
6,https://i1-dulich.vnecdn.net/2023/10/23/csu4-1698048414-1698048463-8768-1698051062.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=xIorA5KDuVQeC7K2m3LZ_A
7,https://i1-dulich.vnecdn.net/2023/10/05/backan-1696468294-1696468312-8354-1696468317.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=zlcNvG7h2l7f3UkMI9gX1g
8,https://i1-dulich.vnecdn.net/2023/08/23/lt1-1692784480-1692784494-9722-1692784602.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=BzvRe3gLEQ8eSBrJ_TtXvg
9,https://i1-dulich.vnecdn.net/2022/06/27/hotram2-1656325587-3703-1656326297.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=eiTX7YMHkhlm2x4OU6KT3A
10,https://i1-dulich.vnecdn.net/2022/06/08/BinhLieuQuangNinh-1654661262-2207-1654667806.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=yPzLEIxnlkDKwtgoJ6Yz2A
11,https://i1-dulich.vnecdn.net/2022/05/26/BaVi-1653557178-4624-1653557181.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=d2f-1cbjpxSk-HWCzoqfRg
12,https://i1-dulich.vnecdn.net/2022/05/12/hoilimbacninh-1652333218-4752-1652333222.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=5szbe4a93jjIWpQXeL-fvQ
13,https://i1-dulich.vnecdn.net/2022/04/08/binhbavnexpressruahayxin-16493-3206-1982-1649406973.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=21Ay78ESvpLp2oWvt74PyQ
14,https://i1-dulich.vnecdn.net/2022/04/08/vuonnhanbaclieu016204164906627-4301-1997-1649380427.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=pistQ70sRrVDviYYolg8kA
15,https://i1-dulich.vnecdn.net/2022/04/06/dulichbentre-1649041246-8527-1-7890-3129-1649214118.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=wez2YM-DyWrYP0-mavjZgw
16,https://i1-dulich.vnecdn.net/2020/11/13/img9470-1605264283-1605264296-9060-1605264451.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=7C6lR7N_K00V_7Plc6s07g
